date	run	questions	lane	status	summary
2026-08-01	1	Q1,Q3	probe,audit	supports	Phase0六桶24h振幅單調遞增,最低vs最高桶p80差距CI[+2.14,+3.46]pp不含0,方向為持續性非反轉;Q3樣本內基準235筆重算完全相符
2026-08-01	2	Q1',Q2	probe	inconclusive	Q1週區塊bootstrap CI轉[+1.46,+4.11]pp仍不含0,結論穩健但精度降;Q2 event vs隨機p80差距CI含0,未驗證波動預警,A/B級顯著差距疑似bbw_pct confound
2026-08-01	3	Q2'	probe	weakens	bbw_pct分層配對Q2:控制桶別後event在n>=30四桶皆無顯著差異,合併CI[-0.660,+0.647]pp含0;A級轉負CI仍含0;極端壓縮桶n=20/22不足,遺留Q2''
2026-08-01	4	Q1''	probe,tooling	supports	Q1大小市值分層(BTC/ETH vs 其餘8標的)獨立驗證24h p80最低桶vs最高桶差距CI[+1.485,+4.150]/[+1.419,+4.349]pp皆不含0,效應量與全體相近,排除流動性混淆但未排除宏觀regime混淆;另開PR修fetch_klines.py三輪繞過的ms/us單位判斷bug
2026-08-02	5	Q2''	probe	weakens	延長窗口2023-01~2026-06全網格重跑:極端壓縮兩桶event n=42/51過門檻但24h p80差距CI仍含0,六桶合併+0.286pp CI[-0.185,+0.754]含0;時期分層P1/P2 Q1效應+3.671/+2.760pp CI皆不含0削弱regime混淆反駁;原窗口完全重現run1/run3
2026-08-02	6	Q1'''	probe	supports	YZ/GK交叉驗證Q1主效應(ORIG窗口24h最低vs最高桶p80差距):GK+2.155pp CI[+1.473,+2.984],YZ+2.171pp CI[+1.510,+2.957],皆不含0且與Parkinson range主結果+2.760pp方向一致,三方一致判supports,削弱漂移偏誤為主要驅動力疑慮但未完全排除
2026-08-02	7	Q4	tooling	inconclusive	Q4 forward證據盲點:開PR#8提案daily_pulse_dispatch.py新增archive_issue()把當日payload存成issue,純加法不影響既有Discord dispatch;未驗證(token scope/label待人類確認),Q4維持open待review非結案,非probe無directional證據
2026-08-05	8	Q10	probe	weakens	[cells=24]方向二Phase0形狀檢定:24格僅1格([0.10,0.25)x24h dR=+0.0171)過Bonferroni調整CI[+0.0018,+0.0331],但可捕獲報酬上界僅0.0886%(全網格調整CI上界最大0.1838%)遠低於0.28%門檻→結局②不進Phase1;滑價歸零門檻仍0.20%亦打不過
2026-08-05	9	Q11	probe	error	[cells=0] 骨架日誌提交後job中斷,無探針程式碼/資料輸出/ledger行,已於run10補記後重做
2026-08-05	10	Q11	probe	inconclusive	[cells=0] 方向三PhaseA完成(非假設檢定,無directional證據):BTC/ETH/SOL x 2024-01~03逐日aggTrades聚合成1m摘要,9/9標的-月零缺天零缺分鐘,BTC 2024-01 resample 15m與官方K線2976根誤差0,ETH/SOL未交叉驗證;PhaseB(重跑Q8結案Q9)待下輪
2026-08-06	11	Q9,Q11	probe	supports	[cells=0] ETH/SOL交叉驗證誤差0;真實路徑重跑頭條格位+18個Q9翻轉組態,real 97-100%落在[auto,reverse]界內且距auto僅0.08-0.19pp(reverse 5.7-19.5pp);115格中91格(79%)落auto側負,經濟量級>1%的40格全站auto側,reverse側24格皆<0.5%屬雜訊;Q9部分結案(僅3標的3月)
2026-08-06	12	Q11	probe	error	[cells=0] Phase C骨架日誌(commit 024c57a)提交後job中斷,無探針程式碼/資料輸出/ledger行,依program.md 1.3由run13補記
2026-08-06	13	Q13,Q10	audit	inconclusive	[cells=0] run8(Q10)獨立復算稽核(audit,無directional證據,方向二M維持24):24格決定性統計量逐位元重現,9010錨點A/B/R改由15m獨立資料路徑重算|ΔR|>1e-6列數0/9010,bbw_pct與桶別0不一致,diag丟棄計數10/10守恆;唯一修正為精度限定-未調整顯著「5格」在預登記boot=20000下實為4~6格(2刀鋒格),boot=400000才收斂5格;判準數字全穩(調整後1格14/14一致,cap上界≤0.189%<0.20%)故Q10 weakens裁決不變
2026-08-06	14	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit 877b3479)提交後job中斷,無探針程式碼/資料輸出/ledger行,依program.md 1.3由run15補記;原計畫擴大Phase A/B至XRP/LINK/AVAX共6標的
2026-08-06	15	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit b7b1c73)提交後job中斷,無探針程式碼/資料輸出;計畫(擴大Phase A/B至XRP/LINK/AVAX共6標的)由run16原地續做
2026-08-07	16	Q9,Q11	probe	error	[cells=0] 骨架日誌(commit 1e55586)提交後job中斷,無探針程式碼/資料輸出;計畫(擴大Phase A/B至XRP/LINK/AVAX共6標的)由run17原地續做
